village,district,village_code,unit,nearest_rail_station,dist_rail_station_km,nearest_icd,dist_icd_km,nearest_port,dist_port_km,nearest_air_cargo,dist_air_cargo_km,nearest_icp,dist_icp_km
Chauki Nasratppur,Azamgarh,195521,village,Gangauli,12.5,ICD Patna,217.76,Kolkata Port (Syama Prasad Mookerjee Port) incl. Haldia Dock Complex,640.78,Lal Bahadur Shastri International Airport (VNS),34.51,Sunauli ICP,190.83
Habibpur,Azamgarh,195519,village,Kirakat,13.11,ICD Patna,216.51,Kolkata Port (Syama Prasad Mookerjee Port) incl. Haldia Dock Complex,639.8,Lal Bahadur Shastri International Airport (VNS),34.99,Sunauli ICP,190.32
Halepur,Azamgarh,195516,village,Kirakat,13.39,ICD Patna,216.13,Kolkata Port (Syama Prasad Mookerjee Port) incl. Haldia Dock Complex,639.57,Lal Bahadur Shastri International Airport (VNS),35.29,Sunauli ICP,190.01
Srikantpur,Azamgarh,195515,village,PHARIHA,14.42,ICD Patna,206.16,Kolkata Port (Syama Prasad Mookerjee Port) incl. Haldia Dock Complex,636.7,Lal Bahadur Shastri International Airport (VNS),50.77,Sunauli ICP,175.27
Zirikpur,Azamgarh,195513,village,Muftiganj,11.74,ICD Patna,219.42,Kolkata Port (Syama Prasad Mookerjee Port) incl. Haldia Dock Complex,642.57,Lal Bahadur Shastri International Airport (VNS),35.01,Sunauli ICP,190.48
Rampur,Azamgarh,195511,village,Muftiganj,13.36,ICD Patna,217.62,Kolkata Port (Syama Prasad Mookerjee Port) incl. Haldia Dock Complex,641.18,Lal Bahadur Shastri International Airport (VNS),35.64,Sunauli ICP,189.7
Ghor Sahana,Azamgarh,195518,village,Kirakat,14.2,ICD Patna,216.76,Kolkata Port (Syama Prasad Mookerjee Port) incl. Haldia Dock Complex,640.53,Lal Bahadur Shastri International Airport (VNS),36.05,Sunauli ICP,189.26
Kalichpur Dudhara,Azamgarh,195500,village,Kirakat,13.11,ICD Patna,214.64,Kolkata Port (Syama Prasad Mookerjee Port) incl. Haldia Dock Complex,637.98,Lal Bahadur Shastri International Airport (VNS),35.04,Sunauli ICP,190.3
Bairampur,Azamgarh,195496,village,Kirakat,15.69,ICD Patna,214.51,Kolkata Port (Syama Prasad Mookerjee Port) incl. Haldia Dock Complex,639.08,Lal Bahadur Shastri International Airport (VNS),37.63,Sunauli ICP,187.69
Mehro Khurd,Azamgarh,195495,village,Kirakat,15.5,ICD Patna,214.13,Kolkata Port (Syama Prasad Mookerjee Port) incl. Haldia Dock Complex,638.62,Lal Bahadur Shastri International Airport (VNS),37.43,Sunauli ICP,187.91
Katouli Bujurg,Azamgarh,195396,village,Kirakat,15.9,ICD Patna,211.33,Kolkata Port (Syama Prasad Mookerjee Port) incl. Haldia Dock Complex,635.88,Lal Bahadur Shastri International Airport (VNS),37.65,Sunauli ICP,187.96
Shekhupur,Azamgarh,195493,village,Kirakat,15.05,ICD Patna,212.69,Kolkata Port (Syama Prasad Mookerjee Port) incl. Haldia Dock Complex,636.92,Lal Bahadur Shastri International Airport (VNS),36.91,Sunauli ICP,188.55
Nurampur,Azamgarh,195488,village,Kirakat,12.78,ICD Patna,211.99,Kolkata Port (Syama Prasad Mookerjee Port) incl. Haldia Dock Complex,635.0,Lal Bahadur Shastri International Airport (VNS),34.45,Sunauli ICP,191.17
Nagdilpur,Azamgarh,195486,village,Kirakat,12.94,ICD Patna,212.52,Kolkata Port (Syama Prasad Mookerjee Port) incl. Haldia Dock Complex,635.67,Lal Bahadur Shastri International Airport (VNS),34.71,Sunauli ICP,190.83
Muhammadpur Kasba,Azamgarh,195485,village,Kirakat,12.81,ICD Patna,213.07,Kolkata Port (Syama Prasad Mookerjee Port) incl. Haldia Dock Complex,636.2,Lal Bahadur Shastri International Airport (VNS),34.64,Sunauli ICP,190.83
Girdharpur,Azamgarh,195481,village,Kirakat,13.21,ICD Patna,212.61,Kolkata Port (Syama Prasad Mookerjee Port) incl. Haldia Dock Complex,635.91,Lal Bahadur Shastri International Airport (VNS),35.0,Sunauli ICP,190.52
Anantpur,Azamgarh,195480,village,Kirakat,13.2,ICD Patna,212.33,Kolkata Port (Syama Prasad Mookerjee Port) incl. Haldia Dock Complex,635.6,Lal Bahadur Shastri International Airport (VNS),34.96,Sunauli ICP,190.6
Jamin Khar Chal,Azamgarh,195477,village,Kirakat,13.77,ICD Patna,211.44,Kolkata Port (Syama Prasad Mookerjee Port) incl. Haldia Dock Complex,634.9,Lal Bahadur Shastri International Airport (VNS),35.42,Sunauli ICP,190.26
Shahpur,Azamgarh,195474,village,Kirakat,13.82,ICD Patna,212.25,Kolkata Port (Syama Prasad Mookerjee Port) incl. Haldia Dock Complex,635.83,Lal Bahadur Shastri International Airport (VNS),35.59,Sunauli ICP,189.96
Chak Basahi,Azamgarh,195459,village,Kirakat,14.22,ICD Patna,209.39,Kolkata Port (Syama Prasad Mookerjee Port) incl. Haldia Dock Complex,632.73,Lal Bahadur Shastri International Airport (VNS),35.41,Sunauli ICP,190.69
Kishunpur,Azamgarh,195445,village,Kirakat,16.19,ICD Patna,207.59,Kolkata Port (Syama Prasad Mookerjee Port) incl. Haldia Dock Complex,631.65,Lal Bahadur Shastri International Airport (VNS),37.12,Sunauli ICP,189.34
Tighara,Azamgarh,195432,village,Dodhi,18.58,ICD Patna,205.24,Kolkata Port (Syama Prasad Mookerjee Port) incl. Haldia Dock Complex,630.32,Lal Bahadur Shastri International Airport (VNS),39.54,Sunauli ICP,187.46
Shankarpur,Azamgarh,195430,village,Dodhi,17.1,ICD Patna,205.27,Kolkata Port (Syama Prasad Mookerjee Port) incl. Haldia Dock Complex,629.62,Lal Bahadur Shastri International Airport (VNS),38.15,Sunauli ICP,188.99
Rampur Chak Molhani,Azamgarh,195409,village,PHARIHA,22.22,ICD Patna,205.37,Kolkata Port (Syama Prasad Mookerjee Port) incl. Haldia Dock Complex,632.45,Lal Bahadur Shastri International Airport (VNS),43.48,Sunauli ICP,183.13
Govindpur,Azamgarh,195408,village,PHARIHA,22.06,ICD Patna,205.68,Kolkata Port (Syama Prasad Mookerjee Port) incl. Haldia Dock Complex,632.77,Lal Bahadur Shastri International Airport (VNS),43.45,Sunauli ICP,183.08
Nizamuddinpur,Azamgarh,195377,village,Kirakat,18.29,ICD Patna,210.42,Kolkata Port (Syama Prasad Mookerjee Port) incl. Haldia Dock Complex,636.09,Lal Bahadur Shastri International Airport (VNS),40.03,Sunauli ICP,185.64
Garbara,Azamgarh,195365,village,Muftiganj,18.23,ICD Patna,215.06,Kolkata Port (Syama Prasad Mookerjee Port) incl. Haldia Dock Complex,640.89,Lal Bahadur Shastri International Airport (VNS),40.36,Sunauli ICP,184.94
Pakari Khurd,Azamgarh,195358,village,Kirakat,19.32,ICD Patna,213.91,Kolkata Port (Syama Prasad Mookerjee Port) incl. Haldia Dock Complex,640.18,Lal Bahadur Shastri International Airport (VNS),41.26,Sunauli ICP,184.06
Kunebhar,Azamgarh,195354,village,PHARIHA,19.46,ICD Patna,209.09,Kolkata Port (Syama Prasad Mookerjee Port) incl. Haldia Dock Complex,636.71,Lal Bahadur Shastri International Airport (VNS),44.23,Sunauli ICP,181.5
Chak Umari Gulam Husain,Azamgarh,195347,village,PHARIHA,16.14,ICD Patna,212.7,Kolkata Port (Syama Prasad Mookerjee Port) incl. Haldia Dock Complex,641.38,Lal Bahadur Shastri International Airport (VNS),46.55,Sunauli ICP,178.78
Chak Umari Ramesh Giri,Azamgarh,195346,village,PHARIHA,15.97,ICD Patna,213.05,Kolkata Port (Syama Prasad Mookerjee Port) incl. Haldia Dock Complex,641.77,Lal Bahadur Shastri International Airport (VNS),46.69,Sunauli ICP,178.63
Chak Aswania,Azamgarh,195340,village,Muftiganj,11.07,ICD Lucknow,221.38,Kolkata Port (Syama Prasad Mookerjee Port) incl. Haldia Dock Complex,647.11,Lal Bahadur Shastri International Airport (VNS),36.87,Sunauli ICP,189.41
Ladhupur,Azamgarh,195326,village,Muftiganj,15.2,ICD Patna,219.38,Kolkata Port (Syama Prasad Mookerjee Port) incl. Haldia Dock Complex,644.55,Lal Bahadur Shastri International Airport (VNS),39.42,Sunauli ICP,186.14
Jagarnath Pur,Azamgarh,195325,village,Muftiganj,15.31,ICD Patna,219.39,Kolkata Port (Syama Prasad Mookerjee Port) incl. Haldia Dock Complex,644.62,Lal Bahadur Shastri International Airport (VNS),39.56,Sunauli ICP,186.01
Durgapur,Azamgarh,195264,village,SANJARPUR,15.07,ICD Patna,215.81,Kolkata Port (Syama Prasad Mookerjee Port) incl. Haldia Dock Complex,644.8,Lal Bahadur Shastri International Airport (VNS),47.58,Sunauli ICP,177.76
Chak Gulab Rai,Azamgarh,195214,village,PHARIHA,16.24,ICD Patna,208.29,Kolkata Port (Syama Prasad Mookerjee Port) incl. Haldia Dock Complex,637.5,Lal Bahadur Shastri International Airport (VNS),47.72,Sunauli ICP,178.04
Umari Kala,Azamgarh,195211,village,PHARIHA,14.31,ICD Patna,208.49,Kolkata Port (Syama Prasad Mookerjee Port) incl. Haldia Dock Complex,638.52,Lal Bahadur Shastri International Airport (VNS),49.54,Sunauli ICP,176.14
Chak Barwa Jai Jadutyati,Azamgarh,195206,village,PHARIHA,13.85,ICD Patna,209.32,Kolkata Port (Syama Prasad Mookerjee Port) incl. Haldia Dock Complex,639.39,Lal Bahadur Shastri International Airport (VNS),49.64,Sunauli ICP,175.93
Khundan Pur,Azamgarh,195216,village,PHARIHA,15.21,ICD Patna,207.46,Kolkata Port (Syama Prasad Mookerjee Port) incl. Haldia Dock Complex,637.3,Lal Bahadur Shastri International Airport (VNS),49.16,Sunauli ICP,176.69
Sarai Parasauli,Azamgarh,195319,village,Muftiganj,17.3,ICD Patna,216.92,Kolkata Port (Syama Prasad Mookerjee Port) incl. Haldia Dock Complex,642.72,Lal Bahadur Shastri International Airport (VNS),40.46,Sunauli ICP,184.89
Chak Sarai,Azamgarh,195336,village,Muftiganj,12.33,ICD Lucknow,221.54,Kolkata Port (Syama Prasad Mookerjee Port) incl. Haldia Dock Complex,646.96,Lal Bahadur Shastri International Airport (VNS),37.92,Sunauli ICP,188.21
Bahlolpur Tirauli,Azamgarh,195397,village,Kirakat,15.5,ICD Patna,211.37,Kolkata Port (Syama Prasad Mookerjee Port) incl. Haldia Dock Complex,635.72,Lal Bahadur Shastri International Airport (VNS),37.24,Sunauli ICP,188.38
Rampur Salwahan,Azamgarh,195415,village,Dodhi,22.99,ICD Patna,201.95,Kolkata Port (Syama Prasad Mookerjee Port) incl. Haldia Dock Complex,629.06,Lal Bahadur Shastri International Airport (VNS),44.2,Sunauli ICP,183.54
Chak Jamal Kamal,Azamgarh,195458,village,Kirakat,14.42,ICD Patna,209.05,Kolkata Port (Syama Prasad Mookerjee Port) incl. Haldia Dock Complex,632.42,Lal Bahadur Shastri International Airport (VNS),35.53,Sunauli ICP,190.65
Taraf Qazi,Azamgarh,195482,village,Kirakat,13.54,ICD Patna,212.79,Kolkata Port (Syama Prasad Mookerjee Port) incl. Haldia Dock Complex,636.27,Lal Bahadur Shastri International Airport (VNS),35.37,Sunauli ICP,190.12
Kasba Deo Gaon,Azamgarh,195484,village,Kirakat,12.82,ICD Patna,212.74,Kolkata Port (Syama Prasad Mookerjee Port) incl. Haldia Dock Complex,635.85,Lal Bahadur Shastri International Airport (VNS),34.61,Sunauli ICP,190.91
Zamin Bagharawa,Azamgarh,195552,village,Kirakat,11.18,ICD Patna,212.89,Kolkata Port (Syama Prasad Mookerjee Port) incl. Haldia Dock Complex,635.16,Lal Bahadur Shastri International Airport (VNS),32.9,Sunauli ICP,192.65
Bagharava Urf Molanapur,Azamgarh,195554,village,Kirakat,11.93,ICD Patna,212.11,Kolkata Port (Syama Prasad Mookerjee Port) incl. Haldia Dock Complex,634.67,Lal Bahadur Shastri International Airport (VNS),33.55,Sunauli ICP,192.09
Kureharapura Dani,Azamgarh,195637,village,Dudhaunda,10.31,ICD Patna,202.14,Kolkata Port (Syama Prasad Mookerjee Port) incl. Haldia Dock Complex,622.54,Lal Bahadur Shastri International Airport (VNS),32.61,Sunauli ICP,197.33
Dariya Pur,Azamgarh,195010,village,KHANJA HALT,7.55,ICD Lucknow,199.91,Kolkata Port (Syama Prasad Mookerjee Port) incl. Haldia Dock Complex,669.46,Lal Bahadur Shastri International Airport (VNS),62.72,Sunauli ICP,169.28
Boorhapur Kutub Ali,Azamgarh,194999,village,DIDARGANJ ROAD,6.61,ICD Lucknow,204.33,Kolkata Port (Syama Prasad Mookerjee Port) incl. Haldia Dock Complex,665.51,Lal Bahadur Shastri International Airport (VNS),63.53,Sunauli ICP,165.91
Daudpur,Azamgarh,194980,village,SARAI MIR,4.09,ICD Lucknow,208.83,Kolkata Port (Syama Prasad Mookerjee Port) incl. Haldia Dock Complex,661.42,Lal Bahadur Shastri International Airport (VNS),63.95,Sunauli ICP,163.64
Rasoolpur,Azamgarh,195037,village,SHAHGANJ JN,7.21,ICD Lucknow,196.82,Kolkata Port (Syama Prasad Mookerjee Port) incl. Haldia Dock Complex,672.31,Lal Bahadur Shastri International Airport (VNS),62.75,Sunauli ICP,171.36
Dasmarha,Azamgarh,194949,village,KHORASON ROAD,3.75,ICD Lucknow,201.51,Kolkata Port (Syama Prasad Mookerjee Port) incl. Haldia Dock Complex,669.54,Lal Bahadur Shastri International Airport (VNS),71.91,Sunauli ICP,157.83
Ibrahimpur,Azamgarh,194785,village,KHANJA HALT,4.96,ICD Lucknow,189.33,Kolkata Port (Syama Prasad Mookerjee Port) incl. Haldia Dock Complex,680.68,Lal Bahadur Shastri International Airport (VNS),73.62,Sunauli ICP,163.34
Rupaie Pur,Azamgarh,194834,village,DIDARGANJ ROAD,8.05,ICD Lucknow,198.98,Kolkata Port (Syama Prasad Mookerjee Port) incl. Haldia Dock Complex,672.91,Lal Bahadur Shastri International Airport (VNS),77.12,Sunauli ICP,153.27
Ramapur,Azamgarh,194719,village,DIDARGANJ ROAD,8.54,ICD Lucknow,193.69,Kolkata Port (Syama Prasad Mookerjee Port) incl. Haldia Dock Complex,677.77,Lal Bahadur Shastri International Airport (VNS),78.08,Sunauli ICP,155.02
Chakia,Azamgarh,194698,village,BILWAI,10.08,ICD Lucknow,190.0,Kolkata Port (Syama Prasad Mookerjee Port) incl. Haldia Dock Complex,681.97,Lal Bahadur Shastri International Airport (VNS),82.37,Sunauli ICP,152.42
Mutakalli Pur,Azamgarh,194699,village,TULSI NAGAR,9.3,ICD Lucknow,189.16,Kolkata Port (Syama Prasad Mookerjee Port) incl. Haldia Dock Complex,682.73,Lal Bahadur Shastri International Airport (VNS),82.53,Sunauli ICP,152.78
Mohiuddinpur,Azamgarh,194664,village,TULSI NAGAR,5.66,ICD Lucknow,182.58,Kolkata Port (Syama Prasad Mookerjee Port) incl. Haldia Dock Complex,689.75,Lal Bahadur Shastri International Airport (VNS),88.27,Sunauli ICP,150.86
Kalafatpur,Azamgarh,194673,village,TULSI NAGAR,5.52,ICD Lucknow,184.87,Kolkata Port (Syama Prasad Mookerjee Port) incl. Haldia Dock Complex,687.03,Lal Bahadur Shastri International Airport (VNS),85.17,Sunauli ICP,152.75
Rampur Khalis,Azamgarh,194667,village,TULSI NAGAR,7.57,ICD Lucknow,185.85,Kolkata Port (Syama Prasad Mookerjee Port) incl. Haldia Dock Complex,686.53,Lal Bahadur Shastri International Airport (VNS),86.46,Sunauli ICP,150.54
Mohammadpur,Azamgarh,194663,village,TULSI NAGAR,4.95,ICD Lucknow,181.73,Kolkata Port (Syama Prasad Mookerjee Port) incl. Haldia Dock Complex,690.49,Lal Bahadur Shastri International Airport (VNS),88.37,Sunauli ICP,151.4
Maldeypur,Azamgarh,194657,village,TULSI NAGAR,8.94,ICD Lucknow,187.22,Kolkata Port (Syama Prasad Mookerjee Port) incl. Haldia Dock Complex,685.32,Lal Bahadur Shastri International Airport (VNS),86.22,Sunauli ICP,149.87
Handia,Azamgarh,194661,village,TULSI NAGAR,9.3,ICD Lucknow,187.96,Kolkata Port (Syama Prasad Mookerjee Port) incl. Haldia Dock Complex,684.5,Lal Bahadur Shastri International Airport (VNS),85.48,Sunauli ICP,150.21
Hansa Pur,Azamgarh,194922,village,KHANJA HALT,4.25,ICD Lucknow,196.45,Kolkata Port (Syama Prasad Mookerjee Port) incl. Haldia Dock Complex,673.05,Lal Bahadur Shastri International Airport (VNS),65.8,Sunauli ICP,167.8
Jafarpur Jaie,Azamgarh,194978,village,KHORASON ROAD,4.37,ICD Lucknow,207.58,Kolkata Port (Syama Prasad Mookerjee Port) incl. Haldia Dock Complex,662.75,Lal Bahadur Shastri International Airport (VNS),65.0,Sunauli ICP,162.94
Rajapur,Azamgarh,195022,village,KHANJA HALT,5.25,ICD Lucknow,196.16,Kolkata Port (Syama Prasad Mookerjee Port) incl. Haldia Dock Complex,673.2,Lal Bahadur Shastri International Airport (VNS),64.95,Sunauli ICP,169.06
Bakshpur,Azamgarh,194929,village,KHORASON ROAD,2.78,ICD Lucknow,203.61,Kolkata Port (Syama Prasad Mookerjee Port) incl. Haldia Dock Complex,666.85,Lal Bahadur Shastri International Airport (VNS),67.7,Sunauli ICP,161.56
Hathanaura Khurd,Azamgarh,194952,village,DIDARGANJ ROAD,2.87,ICD Lucknow,201.35,Kolkata Port (Syama Prasad Mookerjee Port) incl. Haldia Dock Complex,669.44,Lal Bahadur Shastri International Airport (VNS),70.68,Sunauli ICP,159.27
Khanpur Chandoo,Azamgarh,194836,village,KHORASON ROAD,7.85,ICD Lucknow,200.67,Kolkata Port (Syama Prasad Mookerjee Port) incl. Haldia Dock Complex,671.38,Lal Bahadur Shastri International Airport (VNS),76.99,Sunauli ICP,152.64
Kandhiya,Azamgarh,195025,village,KHANJA HALT,5.51,ICD Lucknow,197.4,Kolkata Port (Syama Prasad Mookerjee Port) incl. Haldia Dock Complex,672.01,Lal Bahadur Shastri International Airport (VNS),64.53,Sunauli ICP,168.72
Usari,Azamgarh,194905,village,SHAHGANJ JN,4.32,ICD Lucknow,193.98,Kolkata Port (Syama Prasad Mookerjee Port) incl. Haldia Dock Complex,675.39,Lal Bahadur Shastri International Airport (VNS),66.51,Sunauli ICP,168.72
Dubripur,Azamgarh,195011,village,KHANJA HALT,6.75,ICD Lucknow,198.9,Kolkata Port (Syama Prasad Mookerjee Port) incl. Haldia Dock Complex,670.47,Lal Bahadur Shastri International Airport (VNS),63.37,Sunauli ICP,169.13
Fattan Pur,Azamgarh,194720,village,DIDARGANJ ROAD,7.61,ICD Lucknow,195.16,Kolkata Port (Syama Prasad Mookerjee Port) incl. Haldia Dock Complex,676.32,Lal Bahadur Shastri International Airport (VNS),77.33,Sunauli ICP,155.01
Adam Mau,Azamgarh,195060,village,KHORASON ROAD,7.21,ICD Lucknow,204.75,Kolkata Port (Syama Prasad Mookerjee Port) incl. Haldia Dock Complex,665.04,Lal Bahadur Shastri International Airport (VNS),62.92,Sunauli ICP,166.41
Hamaja Pur,Azamgarh,194792,village,KHANJA HALT,3.46,ICD Lucknow,193.54,Kolkata Port (Syama Prasad Mookerjee Port) incl. Haldia Dock Complex,676.89,Lal Bahadur Shastri International Airport (VNS),73.23,Sunauli ICP,160.75
Nausajhia,Azamgarh,194795,village,KHANJA HALT,3.44,ICD Lucknow,191.96,Kolkata Port (Syama Prasad Mookerjee Port) incl. Haldia Dock Complex,678.33,Lal Bahadur Shastri International Airport (VNS),73.46,Sunauli ICP,161.56
Patauna,Azamgarh,194715,village,DIDARGANJ ROAD,9.53,ICD Lucknow,194.96,Kolkata Port (Syama Prasad Mookerjee Port) incl. Haldia Dock Complex,676.94,Lal Bahadur Shastri International Airport (VNS),79.29,Sunauli ICP,152.93
Sumhadih,Azamgarh,194747,village,KHANJA HALT,8.69,ICD Lucknow,191.37,Kolkata Port (Syama Prasad Mookerjee Port) incl. Haldia Dock Complex,679.88,Lal Bahadur Shastri International Airport (VNS),78.48,Sunauli ICP,156.01
Jamuhat,Azamgarh,194760,village,BILWAI,3.79,ICD Lucknow,185.6,Kolkata Port (Syama Prasad Mookerjee Port) incl. Haldia Dock Complex,685.37,Lal Bahadur Shastri International Airport (VNS),80.8,Sunauli ICP,157.4
Bahira Par,Azamgarh,194896,village,KHANJA HALT,4.24,ICD Lucknow,189.99,Kolkata Port (Syama Prasad Mookerjee Port) incl. Haldia Dock Complex,679.85,Lal Bahadur Shastri International Airport (VNS),72.21,Sunauli ICP,164.59
Sadaruddinpur,Azamgarh,194995,village,KHORASON ROAD,6.01,ICD Lucknow,205.33,Kolkata Port (Syama Prasad Mookerjee Port) incl. Haldia Dock Complex,664.62,Lal Bahadur Shastri International Airport (VNS),63.72,Sunauli ICP,165.25
Bhikhpur,Azamgarh,194817,village,DIDARGANJ ROAD,2.33,ICD Lucknow,199.78,Kolkata Port (Syama Prasad Mookerjee Port) incl. Haldia Dock Complex,670.3,Lal Bahadur Shastri International Airport (VNS),67.57,Sunauli ICP,163.61
Shaha Pur,Azamgarh,194911,village,KHANJA HALT,3.88,ICD Lucknow,197.86,Kolkata Port (Syama Prasad Mookerjee Port) incl. Haldia Dock Complex,671.93,Lal Bahadur Shastri International Airport (VNS),66.91,Sunauli ICP,165.51
Izadipur,Azamgarh,195032,village,SHAHGANJ JN,4.72,ICD Lucknow,194.05,Kolkata Port (Syama Prasad Mookerjee Port) incl. Haldia Dock Complex,675.03,Lal Bahadur Shastri International Airport (VNS),64.16,Sunauli ICP,171.72
Samundpur,Azamgarh,195018,village,DIDARGANJ ROAD,8.11,ICD Lucknow,202.2,Kolkata Port (Syama Prasad Mookerjee Port) incl. Haldia Dock Complex,667.23,Lal Bahadur Shastri International Airport (VNS),61.78,Sunauli ICP,169.04
Yaripur,Azamgarh,195000,village,DIDARGANJ ROAD,5.72,ICD Lucknow,201.86,Kolkata Port (Syama Prasad Mookerjee Port) incl. Haldia Dock Complex,667.85,Lal Bahadur Shastri International Airport (VNS),64.05,Sunauli ICP,166.56
Bhat Purawa,Azamgarh,194819,village,DIDARGANJ ROAD,1.04,ICD Lucknow,199.41,Kolkata Port (Syama Prasad Mookerjee Port) incl. Haldia Dock Complex,671.18,Lal Bahadur Shastri International Airport (VNS),70.66,Sunauli ICP,160.27
Kandara,Azamgarh,194871,village,KHORASON ROAD,5.84,ICD Lucknow,201.0,Kolkata Port (Syama Prasad Mookerjee Port) incl. Haldia Dock Complex,670.59,Lal Bahadur Shastri International Airport (VNS),74.77,Sunauli ICP,154.92
Shahabajpur,Azamgarh,194860,village,KHORASON ROAD,6.79,ICD Lucknow,206.4,Kolkata Port (Syama Prasad Mookerjee Port) incl. Haldia Dock Complex,665.8,Lal Bahadur Shastri International Airport (VNS),74.99,Sunauli ICP,152.63
Pura Gararia,Azamgarh,194832,village,KHORASON ROAD,2.31,ICD Lucknow,203.34,Kolkata Port (Syama Prasad Mookerjee Port) incl. Haldia Dock Complex,667.24,Lal Bahadur Shastri International Airport (VNS),68.55,Sunauli ICP,160.73
Belasia,Azamgarh,194813,village,DIDARGANJ ROAD,2.6,ICD Lucknow,198.25,Kolkata Port (Syama Prasad Mookerjee Port) incl. Haldia Dock Complex,671.81,Lal Bahadur Shastri International Airport (VNS),68.3,Sunauli ICP,163.63
Narwari,Azamgarh,194776,village,BILWAI,2.3,ICD Lucknow,185.49,Kolkata Port (Syama Prasad Mookerjee Port) incl. Haldia Dock Complex,684.64,Lal Bahadur Shastri International Airport (VNS),76.85,Sunauli ICP,162.42
Pura Ramji,Azamgarh,194723,village,DIDARGANJ ROAD,7.94,ICD Lucknow,198.38,Kolkata Port (Syama Prasad Mookerjee Port) incl. Haldia Dock Complex,673.46,Lal Bahadur Shastri International Airport (VNS),77.23,Sunauli ICP,153.43
Munauwar Pur,Azamgarh,195023,village,KHANJA HALT,4.85,ICD Lucknow,196.59,Kolkata Port (Syama Prasad Mookerjee Port) incl. Haldia Dock Complex,672.83,Lal Bahadur Shastri International Airport (VNS),65.21,Sunauli ICP,168.42
Guwaie,Azamgarh,195024,village,KHANJA HALT,5.7,ICD Lucknow,198.35,Kolkata Port (Syama Prasad Mookerjee Port) incl. Haldia Dock Complex,671.13,Lal Bahadur Shastri International Airport (VNS),64.46,Sunauli ICP,168.16
Dehari,Azamgarh,194752,village,KHANJA HALT,5.09,ICD Lucknow,192.09,Kolkata Port (Syama Prasad Mookerjee Port) incl. Haldia Dock Complex,678.52,Lal Bahadur Shastri International Airport (VNS),75.06,Sunauli ICP,159.55
Itakohia,Azamgarh,194831,village,KHORASON ROAD,1.96,ICD Lucknow,203.31,Kolkata Port (Syama Prasad Mookerjee Port) incl. Haldia Dock Complex,667.37,Lal Bahadur Shastri International Airport (VNS),69.12,Sunauli ICP,160.11
Saraipul,Azamgarh,194782,village,BILWAI,5.04,ICD Lucknow,187.7,Kolkata Port (Syama Prasad Mookerjee Port) incl. Haldia Dock Complex,682.21,Lal Bahadur Shastri International Airport (VNS),74.18,Sunauli ICP,163.95
Tighara,Azamgarh,195003,village,DIDARGANJ ROAD,5.66,ICD Lucknow,199.86,Kolkata Port (Syama Prasad Mookerjee Port) incl. Haldia Dock Complex,669.77,Lal Bahadur Shastri International Airport (VNS),64.67,Sunauli ICP,166.96
Paienda Pur,Azamgarh,195021,village,SHAHGANJ JN,5.0,ICD Lucknow,194.75,Kolkata Port (Syama Prasad Mookerjee Port) incl. Haldia Dock Complex,674.58,Lal Bahadur Shastri International Airport (VNS),65.65,Sunauli ICP,169.23
Shamashpur,Azamgarh,195028,village,SHAHGANJ JN,6.58,ICD Lucknow,196.3,Kolkata Port (Syama Prasad Mookerjee Port) incl. Haldia Dock Complex,672.9,Lal Bahadur Shastri International Airport (VNS),63.66,Sunauli ICP,170.59
Imali Mahuwa,Azamgarh,194710,village,DIDARGANJ ROAD,9.55,ICD Lucknow,193.75,Kolkata Port (Syama Prasad Mookerjee Port) incl. Haldia Dock Complex,677.98,Lal Bahadur Shastri International Airport (VNS),79.23,Sunauli ICP,153.68
Sukkhipur,Azamgarh,194842,village,KHORASON ROAD,7.1,ICD Lucknow,201.53,Kolkata Port (Syama Prasad Mookerjee Port) incl. Haldia Dock Complex,670.46,Lal Bahadur Shastri International Airport (VNS),76.32,Sunauli ICP,152.99
Pura Karim,Azamgarh,194974,village,KHORASON ROAD,4.91,ICD Lucknow,204.13,Kolkata Port (Syama Prasad Mookerjee Port) incl. Haldia Dock Complex,665.97,Lal Bahadur Shastri International Airport (VNS),65.3,Sunauli ICP,164.01
Hadawa,Azamgarh,195019,village,DIDARGANJ ROAD,7.61,ICD Lucknow,202.39,Kolkata Port (Syama Prasad Mookerjee Port) incl. Haldia Dock Complex,667.11,Lal Bahadur Shastri International Airport (VNS),62.2,Sunauli ICP,168.43
Bhanipur,Azamgarh,194684,village,BILWAI,6.32,ICD Lucknow,186.71,Kolkata Port (Syama Prasad Mookerjee Port) incl. Haldia Dock Complex,684.7,Lal Bahadur Shastri International Airport (VNS),82.06,Sunauli ICP,155.04
Meer Ahamadpur Sahzada,Azamgarh,195013,village,KHANJA HALT,7.14,ICD Lucknow,198.96,Kolkata Port (Syama Prasad Mookerjee Port) incl. Haldia Dock Complex,670.37,Lal Bahadur Shastri International Airport (VNS),62.94,Sunauli ICP,169.62
Ram Nagar,Azamgarh,194704,village,BILWAI,8.14,ICD Lucknow,189.68,Kolkata Port (Syama Prasad Mookerjee Port) incl. Haldia Dock Complex,681.8,Lal Bahadur Shastri International Airport (VNS),80.51,Sunauli ICP,154.77
Bishekha,Azamgarh,194898,village,KHANJA HALT,0.75,ICD Lucknow,194.5,Kolkata Port (Syama Prasad Mookerjee Port) incl. Haldia Dock Complex,675.54,Lal Bahadur Shastri International Airport (VNS),70.44,Sunauli ICP,163.46
