state,district,district_code,pop_2011,is_island,target_port,road_distance_km,road_cost_per_ton_inr,rail_cost_per_ton_inr,dfc_cost_per_ton_inr,optimal_mode,modal_shift_savings_inr,modal_shift_savings_pct,break_even_distance_km,road_drive_time_hours
Bihar,Araria,209.0,2806898,False,Kolkata Port (Syama Prasad Mookerjee Port) incl. Haldia Dock Complex,521.1,2053.0,1997.7,1404.2,Dedicated Freight Corridor (DFC),648.7,31.6,210.0,7.61
Bihar,Arwal,240.0,661150,False,Kolkata Port (Syama Prasad Mookerjee Port) incl. Haldia Dock Complex,713.3,2757.5,2349.5,1648.3,Dedicated Freight Corridor (DFC),1109.2,40.2,210.0,10.27
Bihar,Aurangabad,235.0,2564825,False,Kolkata Port (Syama Prasad Mookerjee Port) incl. Haldia Dock Complex,647.1,2514.9,2228.3,1564.3,Dedicated Freight Corridor (DFC),950.6,37.8,210.0,9.36
Bihar,Banka,225.0,2045923,False,Kolkata Port (Syama Prasad Mookerjee Port) incl. Haldia Dock Complex,505.8,1996.9,1969.7,1384.8,Dedicated Freight Corridor (DFC),612.1,30.7,210.0,7.4
Bihar,Begusarai,222.0,2955569,False,Kolkata Port (Syama Prasad Mookerjee Port) incl. Haldia Dock Complex,581.2,2273.8,1986.7,1359.6,Dedicated Freight Corridor (DFC),914.2,40.2,210.0,8.51
Bihar,Bhagalpur,224.0,3063373,False,Kolkata Port (Syama Prasad Mookerjee Port) incl. Haldia Dock Complex,432.2,1727.1,1709.6,1176.3,Dedicated Freight Corridor (DFC),550.8,31.9,210.0,6.37
Bihar,Bhojpur,231.0,2748353,False,Kolkata Port (Syama Prasad Mookerjee Port) incl. Haldia Dock Complex,751.8,2898.5,2420.0,1697.2,Dedicated Freight Corridor (DFC),1201.3,41.4,210.0,10.79
Bihar,Buxar,232.0,1713560,False,Kolkata Port (Syama Prasad Mookerjee Port) incl. Haldia Dock Complex,749.8,2891.4,2416.3,1694.7,Dedicated Freight Corridor (DFC),1196.8,41.4,210.0,10.8
Bihar,Darbhanga,215.0,4100963,False,Kolkata Port (Syama Prasad Mookerjee Port) incl. Haldia Dock Complex,721.6,2788.9,2364.7,1658.9,Dedicated Freight Corridor (DFC),1130.0,40.5,210.0,10.52
Bihar,Gaya,236.0,4422156,False,Kolkata Port (Syama Prasad Mookerjee Port) incl. Haldia Dock Complex,605.0,2360.1,2151.3,1510.8,Dedicated Freight Corridor (DFC),849.3,36.0,210.0,8.71
Bihar,Gopalganj,217.0,2573785,False,Kolkata Port (Syama Prasad Mookerjee Port) incl. Haldia Dock Complex,949.9,3625.3,2776.6,1948.8,Dedicated Freight Corridor (DFC),1676.5,46.2,210.0,13.62
Bihar,Jamui,238.0,1765337,False,Kolkata Port (Syama Prasad Mookerjee Port) incl. Haldia Dock Complex,650.1,2525.8,2233.8,1568.1,Dedicated Freight Corridor (DFC),957.7,37.9,210.0,9.39
Bihar,Jehanabad,239.0,1156211,False,Kolkata Port (Syama Prasad Mookerjee Port) incl. Haldia Dock Complex,809.1,3109.8,2524.9,1770.0,Dedicated Freight Corridor (DFC),1339.8,43.1,210.0,11.75
Bihar,Kaimur (Bhabua),233.0,1632430,False,Kolkata Port (Syama Prasad Mookerjee Port) incl. Haldia Dock Complex,758.8,2924.7,2432.8,1706.1,Dedicated Freight Corridor (DFC),1218.6,41.7,210.0,10.96
Bihar,Katihar,212.0,3076670,False,Kolkata Port (Syama Prasad Mookerjee Port) incl. Haldia Dock Complex,439.8,1754.7,1841.1,1301.0,Dedicated Freight Corridor (DFC),453.7,25.9,210.0,6.44
