village,district,district_code,village_code,unit,nearest_rail_station,dist_rail_station_km,nearest_freight_terminal,dist_freight_terminal_km,nearest_port,dist_port_km,nearest_icd,dist_icd_km,nearest_icp,dist_icp_km,nearest_air_cargo,dist_air_cargo_km,nearest_mmlp,dist_mmlp_km,nearest_iw_terminal,dist_iw_terminal_km,nearest_fci_depot,dist_fci_depot_km
SELAKHOLA,BAGESHWAR,63,051388,village,KATHGODAM,68.86,Dhamora,139.39,Dahej Port,1131.69,ICD Moradabad,141.23,Rupaidiha ICP,224.94,Indira Gandhi International Airport (DEL),282.6,MMLP Sangrur,361.65,Varanasi Multi-Modal Terminal,594.6,FCI Depot Dehradun,158.59
KAKARDHAR,BAGESHWAR,63,051371,village,KATHGODAM,70.87,Dhamora,140.5,Dahej Port,1131.67,ICD Moradabad,141.5,Rupaidiha ICP,228.5,Indira Gandhi International Airport (DEL),281.37,MMLP Sangrur,358.61,Varanasi Multi-Modal Terminal,598.04,FCI Depot Dehradun,155.25
FALYATI,BAGESHWAR,63,051301,village,KATHGODAM,73.16,Dhamora,142.43,Dahej Port,1132.97,ICD Moradabad,143.0,Rupaidiha ICP,230.78,Indira Gandhi International Airport (DEL),281.91,MMLP Sangrur,357.55,Varanasi Multi-Modal Terminal,600.45,FCI Depot Dehradun,153.81
KHUMTIYA NAIKRA,BAGESHWAR,63,051366,village,KATHGODAM,71.82,Dhamora,144.34,Dahej Port,1138.69,ICD Moradabad,147.94,Rupaidiha ICP,219.68,Indira Gandhi International Airport (DEL),291.37,MMLP Sangrur,370.82,Varanasi Multi-Modal Terminal,590.54,FCI Depot Dehradun,167.21
AYARTOLI,BAGESHWAR,63,051346,village,KATHGODAM,72.8,Dhamora,142.96,Dahej Port,1134.5,ICD Moradabad,144.26,Rupaidiha ICP,228.2,Indira Gandhi International Airport (DEL),284.29,MMLP Sangrur,360.76,Varanasi Multi-Modal Terminal,598.18,FCI Depot Dehradun,157.02
SIMGARI,BAGESHWAR,63,051334,village,KATHGODAM,79.77,Dhamora,150.03,Dahej Port,1141.05,ICD Moradabad,151.02,Rupaidiha ICP,231.95,Indira Gandhi International Airport (DEL),289.6,MMLP Sangrur,362.13,Varanasi Multi-Modal Terminal,602.74,FCI Depot Dehradun,157.28
BAND,BAGESHWAR,63,051385,village,KATHGODAM,69.8,Dhamora,140.6,Dahej Port,1133.11,ICD Moradabad,142.63,Rupaidiha ICP,224.65,Indira Gandhi International Airport (DEL),284.11,MMLP Sangrur,362.83,Varanasi Multi-Modal Terminal,594.54,FCI Depot Dehradun,159.59
GARSER,BAGESHWAR,63,051377,village,KATHGODAM,69.76,Dhamora,140.15,Dahej Port,1132.22,ICD Moradabad,141.82,Rupaidiha ICP,225.83,Indira Gandhi International Airport (DEL),282.82,MMLP Sangrur,361.23,Varanasi Multi-Modal Terminal,595.55,FCI Depot Dehradun,158.02
LASKAR KHET,BAGESHWAR,63,051271,village,RAMNAGAR,79.12,Dhamora,148.37,Dahej Port,1137.29,ICD Moradabad,147.93,Rupaidiha ICP,236.89,Indira Gandhi International Airport (DEL),284.26,MMLP Sangrur,355.35,Varanasi Multi-Modal Terminal,606.99,FCI Depot Dehradun,150.56
KUNJHALI,BAGESHWAR,63,051267,village,RAMNAGAR,76.06,Dhamora,146.66,Dahej Port,1133.55,ICD Moradabad,144.93,Rupaidiha ICP,241.03,Indira Gandhi International Airport (DEL),279.25,MMLP Sangrur,349.3,Varanasi Multi-Modal Terminal,610.44,FCI Depot Dehradun,144.65
