census_district_code,state,district,Population,Male,Female,Literate,Workers,Cultivator_Workers,Agricultural_Workers,Secondary_Education,Higher_Education,Graduate_Education,Age_Group_0_29,Age_Group_30_49,Age_Group_50
167,Uttar Pradesh,Lalitpur,1221592,641011,580581,641191,503351,267580,131354,61543,32237,34658,793551,265080,159666
168,Uttar Pradesh,Hamirpur,1104285,593537,510748,653299,443655,130314,181449,103334,59914,59612,660774,260368,181109
169,Uttar Pradesh,Mahoba,875958,466358,409600,488106,349676,114244,130422,60400,33810,37165,527067,201394,137393
170,Uttar Pradesh,Banda,1799410,965876,833534,1002937,701689,251755,273458,114783,61702,63112,1120432,408527,265310
171,Uttar Pradesh,Chitrakoot,991730,527721,464009,531072,394197,160094,150695,69641,40266,35826,638046,214228,136669
172,Uttar Pradesh,Fatehpur,2632733,1384722,1248011,1512166,1063929,328758,425366,227119,134445,116445,1624830,603831,395547
173,Uttar Pradesh,Pratapgarh,3209141,1606085,1603056,1931559,1066601,305746,386563,332742,238011,197846,2002569,703727,492097
174,Uttar Pradesh,Kaushambi,1599596,838485,761111,813424,639086,141102,321410,146757,89011,45341,1034099,336401,210556
175,Uttar Pradesh,Allahabad,5954391,3131807,2822584,3665727,2111907,474283,541146,596615,502826,428871,3764404,1335224,818137
176,Uttar Pradesh,Bara Banki,3260699,1707073,1553626,1692458,1192850,458479,421973,197780,132332,113799,2043335,709494,445269
177,Uttar Pradesh,Faizabad,2470996,1259628,1211368,1450901,831209,260406,272734,231129,176303,179996,1534832,543148,367332
178,Uttar Pradesh,Ambedkar Nagar,2397888,1212410,1185478,1486939,787398,213814,301120,247028,172872,194387,1499494,515229,367234
179,Uttar Pradesh,Sultanpur,3797117,1914586,1882531,2239902,1242632,338890,501634,306046,188848,176414,2376875,828222,580164
180,Uttar Pradesh,Bahraich,3487731,1843884,1643847,1398368,1152160,430227,482897,104762,65106,47690,2275746,754346,446242
181,Uttar Pradesh,Shrawasti,1117361,593897,523464,423313,403755,163449,165118,29567,19744,15648,723443,245098,143979
182,Uttar Pradesh,Balrampur,2148665,1114721,1033944,868357,760253,276614,328768,65516,40633,37109,1415213,442339,283947
183,Uttar Pradesh,Gonda,3433919,1787146,1646773,1679994,1170552,440340,431532,192664,144067,118176,2223078,734903,464584
184,Uttar Pradesh,Siddharthnagar,2559297,1295095,1264202,1228926,878898,298360,395993,110056,73465,56516,1690396,504002,359977
185,Uttar Pradesh,Basti,2464464,1255272,1209192,1393783,783688,296928,282260,211477,162961,143642,1574037,519265,363891
186,Uttar Pradesh,Sant Kabir Nagar,1715183,869656,845527,954949,539469,149604,241825,129442,86528,63506,1108368,352395,250502
187,Uttar Pradesh,Mahrajganj,2684703,1381754,1302949,1419144,994253,229847,532486,185236,129222,95863,1694493,595114,370573
188,Uttar Pradesh,Gorakhpur,4440895,2277777,2163118,2700328,1351629,255660,454931,425913,316166,273903,2755630,992114,659677
189,Uttar Pradesh,Kushinagar,3564544,1818055,1746489,1954820,1116973,265686,528388,249265,170911,119625,2236842,772777,500373
190,Uttar Pradesh,Deoria,3100946,1537436,1563510,1875239,876246,238237,291016,372031,277548,194341,1946336,664708,481219
191,Uttar Pradesh,Azamgarh,4613913,2285004,2328909,2771917,1372032,425630,452055,489060,312571,158303,2930243,965876,699954
