name,code,zone,state,address,longitude,latitude
BHANAUR,VNN,NR,Uttar Pradesh,"State Highway 36, Uttar Pradesh",82.530022,25.573159999999998
VEDCHHA,VDH,WR,Gujarat,"Navsari, Gujarat",72.93641500000001,20.874651
VADAL,VAL,WR,Gujarat,"Vadal, Gujarat",70.492663,21.611243
Verka Junction,VKA,NR,Punjab,"Amritsar, Punjab",74.931669,31.665699
Uklana,UKN,NR,Haryana,"State Highway 2, Haryana",75.883133,29.498980000000003
VIDYAPATINAGAR,VPN,ECR,Bihar,"Raod For VIDYAPATI DHAM, Bihar",85.80234268800001,25.601974857400002
UPPALUR,UPL,SCR,Andhra Pradesh,"Krishna, Andhra Pradesh",80.780125,16.492803000000002
UNKAL,UNK,SWR,Karnataka,"Hubli, Karnataka",75.12425499999999,15.377158999999999
ULLAL,ULL,SR,Karnataka,"Someshwar, Karnataka",74.85477900000001,12.791319999999999
VARTEJ,VTJ,WR,Gujarat,"Bhavnagar, Gujarat",72.05519899999999,21.746198
Uttar Radhanagar Halt,UTN,ER,West Bengal,"Sherpur Dhamua Rd, West Bengal",88.383365,22.269458
Vadanam Kurussi Halt,VDKS,SR,Kerala,"Shornur Perinthalmanna Hwy, Kerala",76.252871,10.788139
Una,UNA,WR,Gujarat,"Una, Gujarat",71.036053,20.819025
Una Himachal,UHL,NR,Himachal Pradesh,"Una, Himachal Pradesh",76.27566,31.478782000000002
Umreth,UMH,WR,Gujarat,"Umreth, Gujarat",73.119782,22.693375999999997
